Countries,"Air transport, passengers carried"
United States of America,926737000
China,659629060
Ireland,170161860
India,167499120
United Kingdom,142392530
Japan,130233350
Turkey,111131470
Germany,109633750
Russia,108857900
Brazil,102917544
United Arab Emirates,93995210
Canada,93352000
South Korea,92434080
Indonesia,91323150
Spain,88237170
Australia,76850600
Thailand,76344410
France,71289280
Mexico,69937840
Malaysia,63623130
Vietnam,53227024
Sweden,50957868
Philippines,47776892
Austria,46476600
Hong Kong,46469864
Netherlands,46358456
Saudi Arabia,46181490
Singapore,43050720
Hungary,39803372
Colombia,37031844
Qatar,32953296
Switzerland,30339654
Italy,27760300
South Africa,26211258
Portugal,22047878
Iran,21641450
Chile,21197760
Argentina,19461376
Peru,18820572
New Zealand,17763604
Greece,16124738
Finland,14610547
Belgium,14279187
Egypt,13206890
Ethiopia,12631216
Panama,12497758
Oman,11239996
Poland,10225516
Morocco,9380951
Kazakhstan,7656866
Ukraine,7604522.5
Pakistan,7420378
Kuwait,7385299
Israel,7068458
Algeria,6752002
Niger,6539048.5
Bahrain,6440562
Kenya,6417534
Bangladesh,6260241
Romania,5630289
Sri Lanka,5582446
Czechia,5446163
Iraq,5434292
Latvia,4976410
Ecuador,4827978
Iceland,4656017
Tunisia,4335325
Bolivia,4066959
Myanmar,3701663.8
Uzbekistan,3685192
Macao,3659911
Jordan,3478444
Belarus,3208254
Lebanon,3164358
El Salvador,2609917
Azerbaijan,2585280
Trinidad and Tobago,2583595
Serbia,2469081
Malta,2382607.8
Luxembourg,2114417
Croatia,2108591
Turkmenistan,2081424.4
Costa Rica,2033146
Papua New Guinea,2029701
Bahamas,1856546
Mauritius,1726868
Fiji,1700293
Nepal,1659671
Rwanda,1561562.2
Venezuela,1516839
Tanzania,1498093
Angola,1436959
Cambodia,1429503.8
Brunei,1421313
Moldova,1408166
Libya,1367458
Belize,1278187.5
Maldives,1221786.6
Afghanistan,1066747.4
Laos,979307
Slovenia,869640.1
Kyrgyzstan,867935
Bulgaria,832828
Côte d'Ivoire,748540
Mongolia,744413
Cape Verde,675482
Togo,633629
Paraguay,632389
Montenegro,597380
Ghana,597343
Mozambique,587364
Dem. Rep. Congo,550457.9
Madagascar,544458
Congo,541787.1
Tajikistan,539094.6
Sudan,530001
Antigua and Barbuda,526334
Georgia,509913
Vanuatu,466865.06
Senegal,457722
Cuba,457130
Equatorial Guinea,425475
Seychelles,414088
Cyprus,395436
Mauritania,386621
Honduras,321243
Albania,307741
Bhutan,276092
Botswana,254439
Suriname,236601
Solomon Islands,229670.64
Namibia,212578
Armenia,193668
Burkina Faso,185841
Dominican Republic,113752
Gambia,109542.15
North Korea,109095
Guatemala,107350
Eritrea,101357.375
Cameroon,83882
Samoa,74867
Kiribati,65846.85
Eswatini,52744
Nauru,50668
Sao Tome and Principe,41933
Lithuania,40944
Somalia,34065.56
Guyana,28697
Marshall Islands,21500
Uganda,19822.5
Syria,18456.645
Zambia,17505.69
Malawi,7117
Bosnia and Herzegovina,5375
Estonia,857
Monaco,316


